sample,accession,lane
SMRU1,ERS019159,6259_5#1
SMRU2,ERS019160,6259_5#2
SMRU3,ERS019161,6259_5#3
SMRU5,ERS019163,6259_5#5
SMRU6,ERS019164,6259_5#6
SMRU7,ERS019165,6259_5#7
SMRU9,ERS019167,6259_5#9
SMRU10,ERS019168,6259_5#10
SMRU12,ERS019170,6259_5#12
SMRU14,ERS019172,6259_5#14
SMRU15,ERS019173,6259_5#15
SMRU16,ERS019174,6259_5#16
SMRU17,ERS019175,6259_5#17
SMRU19,ERS019177,6259_5#19
SMRU20,ERS019178,6259_5#20
SMRU21,ERS019179,6259_5#21
SMRU23,ERS019181,6259_5#23
SMRU24,ERS019182,6259_5#24
SMRU25,ERS019183,6259_6#1
SMRU26,ERS019184,6259_6#2
SMRU27,ERS019185,6259_6#3
SMRU28,ERS019186,6259_6#4
SMRU29,ERS019187,6259_6#5
SMRU30,ERS019188,6259_6#6
SMRU31,ERS019189,6259_6#7
SMRU32,ERS019190,6259_6#8
SMRU34,ERS019192,6259_6#10
SMRU36,ERS019194,6259_6#12
SMRU37,ERS019195,6259_6#13
SMRU38,ERS019196,6259_6#14
SMRU40,ERS019198,6259_6#16
SMRU41,ERS019199,6259_6#17
SMRU42,ERS019200,6259_6#18
SMRU43,ERS019201,6259_6#19
SMRU48,ERS019206,6259_6#24
SMRU49,ERS019207,6259_7#1
SMRU50,ERS019208,6259_7#2
SMRU52,ERS019210,6259_7#4
SMRU53,ERS019211,6259_7#5
SMRU54,ERS019212,6259_7#6
SMRU55,ERS019213,6259_7#7
SMRU56,ERS019214,6259_7#8
SMRU57,ERS019215,6259_7#9
SMRU58,ERS019216,6259_7#10
SMRU59,ERS019217,6259_7#11
SMRU60,ERS019218,6259_7#12
SMRU61,ERS019219,6259_7#13
SMRU62,ERS019220,6259_7#14
SMRU63,ERS019221,6259_7#15
SMRU64,ERS019222,6259_7#16
SMRU66,ERS019224,6259_7#18
SMRU67,ERS019225,6259_7#19
SMRU68,ERS019226,6259_7#20
SMRU69,ERS019227,6259_7#21
SMRU70,ERS019228,6259_7#22
SMRU71,ERS019229,6259_7#23
SMRU72,ERS019230,6259_7#24
SMRU73,ERS019231,6259_8#1
SMRU74,ERS019232,6259_8#2
SMRU75,ERS019233,6259_8#3
SMRU76,ERS019234,6259_8#4
SMRU77,ERS019235,6259_8#5
SMRU78,ERS019236,6259_8#6
SMRU80,ERS019238,6259_8#8
SMRU81,ERS019239,6259_8#9
SMRU82,ERS019240,6259_8#10
SMRU83,ERS019241,6259_8#11
SMRU84,ERS019242,6259_8#12
SMRU85,ERS019243,6259_8#13
SMRU86,ERS019244,6259_8#14
SMRU87,ERS019245,6259_8#15
SMRU88,ERS019246,6259_8#16
SMRU89,ERS019247,6259_8#17
SMRU93,ERS019251,6259_8#21
SMRU94,ERS019252,6259_8#22
SMRU95,ERS019253,6259_8#23
SMRU96,ERS019254,6259_8#24
SMRU97,ERS019255,6593_4#1
SMRU98,ERS019256,6593_4#2
SMRU99,ERS019257,6593_4#3
SMRU100,ERS019258,6593_4#4
SMRU101,ERS019259,6593_4#5
SMRU102,ERS019260,6593_4#6
SMRU103,ERS019261,6593_4#7
SMRU104,ERS019262,6593_4#8
SMRU105,ERS019263,6593_4#9
SMRU106,ERS019264,6593_4#10
SMRU107,ERS019265,6593_4#11
SMRU108,ERS019266,6593_4#12
SMRU109,ERS019267,6593_4#13
SMRU110,ERS019268,6593_4#14
SMRU111,ERS019269,6593_4#15
SMRU112,ERS019270,6593_4#16
SMRU114,ERS019272,6593_4#18
SMRU115,ERS019273,6593_4#19
SMRU116,ERS019274,6593_4#20
SMRU117,ERS019275,6593_4#21
SMRU119,ERS019277,6593_4#23
SMRU120,ERS019278,6593_4#24
SMRU121,ERS019279,6593_5#1
SMRU122,ERS019280,6593_5#2
SMRU123,ERS019281,6593_5#3
SMRU124,ERS019282,6593_5#4
SMRU125,ERS019283,6593_5#5
SMRU126,ERS019284,6593_5#6
SMRU128,ERS019286,6593_5#8
SMRU129,ERS019287,6593_5#9
SMRU130,ERS019288,6593_5#10
SMRU131,ERS019289,6593_5#11
SMRU132,ERS019290,6593_5#12
SMRU133,ERS019291,6593_5#13
SMRU134,ERS019292,6593_5#14
SMRU135,ERS019293,6593_5#15
SMRU136,ERS019294,6593_5#16
SMRU137,ERS019295,6593_5#17
SMRU138,ERS019296,6593_5#18
SMRU139,ERS019297,6593_5#19
SMRU140,ERS019298,6593_5#20
SMRU141,ERS019299,6593_5#21
SMRU142,ERS019300,6593_5#22
SMRU143,ERS019301,6593_5#23
SMRU144,ERS019302,6593_5#24
SMRU265,ERS019423,6630_1#1
SMRU266,ERS019424,6630_1#2
SMRU267,ERS019425,6630_1#3
SMRU268,ERS019426,6630_1#4
SMRU269,ERS019427,6630_1#5
SMRU270,ERS019428,6630_1#6
SMRU271,ERS019429,6630_1#7
SMRU272,ERS019430,6630_1#8
SMRU273,ERS019431,6630_1#9
SMRU274,ERS019432,6630_1#10
SMRU275,ERS019433,6630_1#11
SMRU276,ERS019434,6630_1#12
SMRU277,ERS019435,6630_1#13
SMRU280,ERS019438,6630_1#16
SMRU281,ERS019439,6630_1#17
SMRU282,ERS019440,6630_1#18
SMRU283,ERS019441,6630_1#19
SMRU284,ERS019442,6630_1#20
SMRU285,ERS019443,6630_1#21
SMRU287,ERS019445,6630_1#23
SMRU288,ERS019446,6630_1#24
SMRU289,ERS019447,6630_2#1
SMRU291,ERS019449,6630_2#3
SMRU292,ERS019450,6630_2#4
SMRU293,ERS019451,6630_2#5
SMRU294,ERS019452,6630_2#6
SMRU295,ERS019453,6630_2#7
SMRU296,ERS019454,6630_2#8
SMRU297,ERS019455,6630_2#9
SMRU298,ERS019456,6630_2#10
SMRU299,ERS019457,6630_2#11
SMRU301,ERS019459,6630_2#13
SMRU302,ERS019460,6630_2#14
SMRU303,ERS019461,6630_2#15
SMRU304,ERS019462,6630_2#16
SMRU305,ERS019463,6630_2#17
SMRU306,ERS019464,6630_2#18
SMRU307,ERS019465,6630_2#19
SMRU308,ERS019466,6630_2#20
SMRU309,ERS019467,6630_2#21
SMRU310,ERS019468,6630_2#22
SMRU311,ERS019469,6630_2#23
SMRU312,ERS019470,6630_2#24
SMRU361,ERS019519,6630_3#1
SMRU362,ERS019520,6630_3#2
SMRU363,ERS019521,6630_3#3
SMRU364,ERS019522,6630_3#4
SMRU365,ERS019523,6630_3#5
SMRU366,ERS019524,6630_3#6
SMRU370,ERS019528,6630_3#10
SMRU372,ERS019530,6630_3#12
SMRU373,ERS019531,6630_3#13
SMRU374,ERS019532,6630_3#14
SMRU375,ERS019533,6630_3#15
SMRU376,ERS019534,6630_3#16
SMRU377,ERS019535,6630_3#17
SMRU378,ERS019536,6630_3#18
SMRU379,ERS019537,6630_3#19
SMRU380,ERS019538,6630_3#20
SMRU381,ERS019539,6630_3#21
SMRU382,ERS019540,6630_3#22
SMRU383,ERS019541,6630_3#23
SMRU384,ERS019542,6630_3#24
SMRU385,ERS019543,6630_4#1
SMRU386,ERS019544,6630_4#2
SMRU387,ERS019545,6630_4#3
SMRU388,ERS019546,6630_4#4
SMRU389,ERS019547,6630_4#5
SMRU390,ERS019548,6630_4#6
SMRU391,ERS019549,6630_4#7
SMRU392,ERS019550,6630_4#8
SMRU393,ERS019551,6630_4#9
SMRU394,ERS019552,6630_4#10
SMRU395,ERS019553,6630_4#11
SMRU396,ERS019554,6630_4#12
SMRU397,ERS019555,6630_4#13
SMRU398,ERS019556,6630_4#14
SMRU399,ERS019557,6630_4#15
SMRU400,ERS019558,6630_4#16
SMRU401,ERS019559,6630_4#17
SMRU402,ERS019560,6630_4#18
SMRU403,ERS019561,6630_4#19
SMRU404,ERS019562,6630_4#20
SMRU405,ERS019563,6630_4#21
SMRU406,ERS019564,6630_4#22
SMRU407,ERS019565,6630_4#23
SMRU408,ERS019566,6630_4#24
SMRU313,ERS019471,6631_1#1
SMRU314,ERS019472,6631_1#2
SMRU316,ERS019474,6631_1#4
SMRU317,ERS019475,6631_1#5
SMRU318,ERS019476,6631_1#6
SMRU319,ERS019477,6631_1#7
SMRU320,ERS019478,6631_1#8
SMRU321,ERS019479,6631_1#9
SMRU323,ERS019481,6631_1#11
SMRU324,ERS019482,6631_1#12
SMRU325,ERS019483,6631_1#13
SMRU326,ERS019484,6631_1#14
SMRU327,ERS019485,6631_1#15
SMRU328,ERS019486,6631_1#16
SMRU329,ERS019487,6631_1#17
SMRU330,ERS019488,6631_1#18
SMRU331,ERS019489,6631_1#19
SMRU332,ERS019490,6631_1#20
SMRU333,ERS019491,6631_1#21
SMRU334,ERS019492,6631_1#22
SMRU335,ERS019493,6631_1#23
SMRU337,ERS019495,6631_2#1
SMRU338,ERS019496,6631_2#2
SMRU339,ERS019497,6631_2#3
SMRU340,ERS019498,6631_2#4
SMRU342,ERS019500,6631_2#6
SMRU343,ERS019501,6631_2#7
SMRU344,ERS019502,6631_2#8
SMRU345,ERS019503,6631_2#9
SMRU346,ERS019504,6631_2#10
SMRU347,ERS019505,6631_2#11
SMRU348,ERS019506,6631_2#12
SMRU349,ERS019507,6631_2#13
SMRU350,ERS019508,6631_2#14
SMRU351,ERS019509,6631_2#15
SMRU352,ERS019510,6631_2#16
SMRU353,ERS019511,6631_2#17
SMRU354,ERS019512,6631_2#18
SMRU355,ERS019513,6631_2#19
SMRU357,ERS019515,6631_2#21
SMRU358,ERS019516,6631_2#22
SMRU359,ERS019517,6631_2#23
SMRU360,ERS019518,6631_2#24
SMRU409,ERS019567,6631_3#1
SMRU410,ERS019568,6631_3#2
SMRU411,ERS019569,6631_3#3
SMRU412,ERS019570,6631_3#4
SMRU413,ERS019571,6631_3#5
SMRU414,ERS019572,6631_3#6
SMRU415,ERS019573,6631_3#7
SMRU416,ERS019574,6631_3#8
SMRU417,ERS019575,6631_3#9
SMRU418,ERS019576,6631_3#10
SMRU419,ERS019577,6631_3#11
SMRU420,ERS019578,6631_3#12
SMRU421,ERS019579,6631_3#13
SMRU422,ERS019580,6631_3#14
SMRU423,ERS019581,6631_3#15
SMRU424,ERS019582,6631_3#16
SMRU425,ERS019583,6631_3#17
SMRU426,ERS019584,6631_3#18
SMRU427,ERS019585,6631_3#19
SMRU428,ERS019586,6631_3#20
SMRU429,ERS019587,6631_3#21
SMRU430,ERS019588,6631_3#22
SMRU431,ERS019589,6631_3#23
SMRU432,ERS019590,6631_3#24
SMRU434,ERS019592,6631_4#2
SMRU435,ERS019593,6631_4#3
SMRU436,ERS019594,6631_4#4
SMRU437,ERS019595,6631_4#5
SMRU438,ERS019596,6631_4#6
SMRU439,ERS019597,6631_4#7
SMRU440,ERS019598,6631_4#8
SMRU441,ERS019599,6631_4#9
SMRU442,ERS019600,6631_4#10
SMRU443,ERS019601,6631_4#11
SMRU445,ERS019603,6631_4#13
SMRU446,ERS019604,6631_4#14
SMRU447,ERS019605,6631_4#15
SMRU448,ERS019606,6631_4#16
SMRU449,ERS019607,6631_4#17
SMRU450,ERS019608,6631_4#18
SMRU451,ERS019609,6631_4#19
SMRU452,ERS019610,6631_4#20
SMRU453,ERS019611,6631_4#21
SMRU454,ERS019612,6631_4#22
SMRU455,ERS019613,6631_4#23
SMRU456,ERS019614,6631_4#24
SMRU457,ERS019615,6631_5#1
SMRU458,ERS019616,6631_5#2
SMRU459,ERS019617,6631_5#3
SMRU460,ERS019618,6631_5#4
SMRU461,ERS019619,6631_5#5
SMRU462,ERS019620,6631_5#6
SMRU464,ERS019622,6631_5#8
SMRU465,ERS019623,6631_5#9
SMRU466,ERS019624,6631_5#10
SMRU467,ERS019625,6631_5#11
SMRU468,ERS019626,6631_5#12
SMRU469,ERS019627,6631_5#13
SMRU470,ERS019628,6631_5#14
SMRU471,ERS019629,6631_5#15
SMRU472,ERS019630,6631_5#16
SMRU473,ERS019631,6631_5#17
SMRU474,ERS019632,6631_5#18
SMRU475,ERS019633,6631_5#19
